Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,IsAlone
3,0,1,1,0,0,Missing,0,0
1,1,1,1,0,1,C85,1,0
3,1,1,0,0,0,Missing,0,1
1,1,1,1,0,1,C123,0,0
3,0,1,0,0,0,Missing,0,0
3,0,1,0,0,0,Missing,2,0
1,0,2,0,0,1,E46,0,0
3,0,0,3,1,0,Missing,0,0
3,1,1,0,2,0,Missing,0,0
2,1,0,1,0,0,Missing,1,0
3,1,0,1,1,0,G6,0,0
1,1,2,0,0,0,C103,0,0
3,0,1,0,0,0,Missing,0,1
3,0,1,1,5,0,Missing,0,0
3,1,0,0,0,0,Missing,0,1
2,1,2,0,0,0,Missing,0,1
3,0,0,4,1,0,Missing,2,0
2,0,1,0,0,0,Missing,0,0
3,1,1,1,0,0,Missing,0,0
3,1,1,0,0,0,Missing,1,1
2,0,1,0,0,0,Missing,0,1
2,0,1,0,0,0,D56,0,1
3,1,0,0,0,0,Missing,2,0
1,0,1,0,0,0,A6,0,1
3,1,0,3,1,0,Missing,0,0
3,1,1,1,5,0,Missing,0,0
3,0,1,0,0,0,Missing,1,1
1,0,1,3,2,2,C23 C25 C27,0,0
3,1,1,0,0,0,Missing,2,1
3,0,1,0,0,0,Missing,0,1
1,0,1,0,0,0,Missing,1,1
1,1,1,1,0,2,B78,1,0
3,1,1,0,0,0,Missing,2,1
2,0,2,0,0,0,Missing,0,1
1,0,1,1,0,1,Missing,1,0
1,0,1,1,0,1,Missing,0,0
3,0,1,0,0,0,Missing,1,1
3,0,1,0,0,0,Missing,0,1
3,1,0,2,0,0,Missing,0,0
3,1,0,1,0,0,Missing,1,0
3,1,1,1,0,0,Missing,0,1
2,1,1,1,0,0,Missing,0,0
3,0,1,0,0,0,Missing,1,1
2,1,0,1,2,0,Missing,1,0
3,1,1,0,0,0,Missing,2,1
3,0,1,0,0,0,Missing,0,0
3,0,1,1,0,0,Missing,2,0
3,1,1,0,0,0,Missing,2,1
3,0,1,2,0,0,Missing,1,0
3,1,0,1,0,0,Missing,0,0
3,0,0,4,1,0,Missing,0,0
3,0,1,0,0,0,Missing,0,1
1,1,1,1,0,1,D33,1,0
2,1,1,1,0,0,Missing,0,0
1,0,2,0,1,1,B30,1,0
1,0,1,0,0,0,C52,0,1
2,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,1,1
2,1,0,1,2,0,Missing,0,0
3,0,0,5,2,0,Missing,0,0
3,0,1,0,0,0,Missing,1,1
1,1,1,0,0,1,B28,0,1
1,0,1,1,0,1,C83,0,0
3,0,0,3,2,0,Missing,0,0
1,0,1,0,0,0,Missing,1,1
3,0,1,1,1,0,Missing,1,0
2,1,1,0,0,0,F33,0,1
3,0,1,0,0,0,Missing,0,1
3,1,0,4,2,0,Missing,0,0
3,0,1,2,0,0,Missing,0,0
2,0,1,0,0,0,Missing,0,1
3,1,0,5,2,0,Missing,0,0
2,0,1,0,0,1,Missing,0,1
3,0,1,1,0,0,Missing,1,0
3,0,1,0,0,1,Missing,0,1
3,0,1,0,0,0,F G73,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
2,0,0,0,2,0,Missing,0,0
3,1,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,0,1,0,0,0,Missing,0,1
3,1,1,0,0,0,Missing,2,1
